UnicastAddr,MulticastAddr,Team,longame24,shortname8
172.16.32.*,224.16.32.32,Organization,Organization,Organiza
172.16.33.*,224.16.32.33,5DPO,5DPO,5DPO
172.16.34.*,224.16.32.34,AIS/BIT Robots,AIS/BIT Robots,"AIS/BIT "
172.16.35.*,224.16.32.35,AllemaniACs,AllemaniACs,Allemani
172.16.36.*,224.16.32.36,Team Aros,Team Aros,Team Aro
172.16.37.*,224.16.32.37,Attempto Tubingen,Attempto Tubingen,Attempto
172.16.38.*,224.16.32.38,Brainstormers Tribots,Brainstormers Tribots,Brainsto
172.16.39.*,224.16.32.39,CAMBADA,CAMBADA,CAMBADA
172.16.40.*,224.16.32.40,Carpe Noctem Cassel (CNC),Carpe Noctem Cassel (CNC,Carpe No
172.16.41.*,224.16.32.41,RFC Stuttgart,RFC Stuttgart,RFC Stut
172.16.42.*,224.16.32.42,EIGEN,EIGEN,EIGEN
172.16.43.*,224.16.32.43,FU-Fighters,FU-Fighters,FU-Fight
172.16.44.*,224.16.32.44,Hibikino-Musashi,Hibikino-Musashi,Hibikino
172.16.45.*,224.16.32.45,ISePorto,ISePorto,ISePorto
172.16.46.*,224.16.32.46,SocRob,SocRob,SocRob
172.16.47.*,224.16.32.47,Jiao Long,Jiao Long,Jiao Lon
172.16.48.*,224.16.32.48,Khorasgan University,Khorasgan University,Khorasga
172.16.49.*,224.16.32.49,MINHO,MINHO,MINHO
172.16.50.*,224.16.32.50,Mostly Harmless,Mostly Harmless,Mostly H
172.16.51.*,224.16.32.51,MRL,MRL,MRL
172.16.52.*,224.16.32.52,MRT - Milan Robocup Team,MRT - Milan Robocup Team,MRT - Mi
172.16.53.*,224.16.32.53,NuBot,NuBot,NuBot
172.16.54.*,224.16.32.54,Paderkicker,Paderkicker,Paderkic
172.16.55.*,224.16.32.55,Persian Gulf (IAUT),Persian Gulf (IAUT),"Persian "
172.16.56.*,224.16.32.56,VDL Robot Sports,VDL Robot Sports,VDL Robo
172.16.57.*,224.16.32.57,The Orient,The Orient,The Orie
172.16.58.*,224.16.32.58,Osaka University Trackies,Osaka University Trackie,Osaka Un
172.16.59.*,224.16.32.59,Robofoot EPM,Robofoot EPM,Robofoot
172.16.60.*,224.16.32.60,Satrap,Satrap,Satrap
172.16.61.*,224.16.32.61,Smoking Jays,Smoking Jays,"Smoking "
172.16.62.*,224.16.32.62,Su-Spada,Su-Spada,Su-Spada
172.16.63.*,224.16.32.63,Tech United Eindhoven,Tech United Eindhoven,Tech Uni
172.16.64.*,224.16.32.64,TKU-ITRI,TKU-ITRI,TKU-ITRI
172.16.65.*,224.16.32.65,Ulm Sparrows,Ulm Sparrows,Ulm Spar
172.16.66.*,224.16.32.66,WinKIT,WinKIT,WinKIT
172.16.67.*,224.16.32.67,Water,Water,Water
172.16.68.*,224.16.32.68,Adro,Adro,Adro
172.16.69.*,224.16.32.69,Endeavor,Endeavor,Endeavor
172.16.70.*,224.16.32.70,Hong Kong Dragons,Hong Kong Dragons,Hong Kon
172.16.71.*,224.16.32.71,MU Penguins,MU Penguins,MU Pengu
172.16.72.*,224.16.32.72,Strive-Legends,Strive-Legends,Strive-L
172.16.73.*,224.16.32.73,ROBIT,ROBIT,ROBIT
172.16.74.*,224.16.32.74,ASML Falcons,ASML Falcons,ASML Fal
172.16.75.*,224.16.32.75,n.a.,n.a.,n.a.
172.16.76.*,224.16.32.76,n.a.,n.a.,n.a.
172.16.77.*,224.16.32.77,n.a.,n.a.,n.a.
172.16.78.*,224.16.32.78,n.a.,n.a.,n.a.
172.16.79.*,224.16.32.79,n.a.,n.a.,n.a.
172.16.80.*,224.16.32.80,n.a.,n.a.,n.a.
172.16.81.*,224.16.32.81,n.a.,n.a.,n.a.
172.16.82.*,224.16.32.82,n.a.,n.a.,n.a.
172.16.83.*,224.16.32.83,n.a.,n.a.,n.a.
172.16.84.*,224.16.32.84,n.a.,n.a.,n.a.
172.16.85.*,224.16.32.85,n.a.,n.a.,n.a.
172.16.86.*,224.16.32.86,n.a.,n.a.,n.a.
172.16.87.*,224.16.32.87,n.a.,n.a.,n.a.
172.16.88.*,224.16.32.88,n.a.,n.a.,n.a.
172.16.100.*,224.16.32.100,Mixed teams,Mixed teams,Mixed te
127.0.0.*,224.16.32.127,localhost,LOCALHOST,local
192.168.1.*,224.16.32.1,irislab,TEST,test
